Consumer_ID,Restaurant_ID,Restaurant_Name,Overall_Rating,Cuisine,Price,Franchise
U1077,135085,Tortas Locas Hipocampo,I like it,Fast Food,Medium,No
U1077,135038,Restaurant La Chalita,I like it,Not Informed,Medium,No
U1077,132825,Puesto De Tacos,I like it,Mexican,Low,No
U1077,135060,Restaurante Marisco Sam,Okay,Seafood,Medium,No
U1068,135104,Vips,Okay,Not Informed,None,None
U1068,132740,Carreton De Flautas Y Migadas,Don't Like,Mexican,Low,No
U1068,132663,Tacos Abi,Okay,Mexican,Low,No
U1068,132732,Taqueria El Amigo ,Don't Like,Mexican,Low,No
U1068,132630,Palomo Tec,Okay,Mexican,Low,No
U1067,132584,Gorditas Doña Tota,I like it,Not Informed,None,None
U1067,132733,Little Caesars,Okay,Pizzeria,Medium,Yes
U1067,132732,Taqueria El Amigo ,Okay,Mexican,Low,No
U1067,132630,Palomo Tec,Okay,Mexican,Low,No
U1067,135104,Vips,Don't Like,Not Informed,None,None
U1067,132560,Puesto de Gorditas,Okay,Regional,Low,No
U1103,132584,Gorditas Doña Tota,Okay,Not Informed,None,None
U1103,132732,Taqueria El Amigo ,Don't Like,Mexican,Low,No
U1103,132630,Palomo Tec,Okay,Mexican,Low,No
U1103,132613,Carnitas Mata,I like it,Mexican,Medium,Yes
U1103,132667,Little Pizza Emilio Portes Gil,Okay,Armenian,Low,Yes
U1103,135104,Vips,Okay,Not Informed,None,None
U1103,132663,Tacos Abi,Okay,Mexican,Low,No
U1103,132733,Little Caesars,I like it,Pizzeria,Medium,Yes
U1107,132660,Carnitas Mata Calle Emilio Portes Gil,I like it,Not Informed,Low,No
U1107,132584,Gorditas Doña Tota,I like it,Not Informed,None,None
U1107,132733,Little Caesars,I like it,Pizzeria,Medium,Yes
U1044,135088,Cafeteria Cenidet,I like it,Cafeteria,Low,No
U1044,132583,McDonalds Centro,Okay,American,Low,Yes
U1070,132608,Hamburguesas La Perica,I like it,Mexican,Low,Yes
U1070,132609,Pollo Frito Buenos Aires,Okay,Fast Food,Low,Yes
U1070,132613,Carnitas Mata,Okay,Mexican,Medium,Yes
U1031,132663,Tacos Abi,Don't Like,Mexican,Low,No
U1031,132665,Tacos Correcaminos,Don't Like,Mexican,Low,No
U1031,132668,Tacos El Guero,Don't Like,Mexican,Low,No
U1082,132630,Palomo Tec,Okay,Mexican,Low,No
U1023,132715,Tacos De La Estacion,Don't Like,Mexican,Low,No
U1023,132717,Tortas Hawaii,Don't Like,Fast Food,Medium,No
U1082,132613,Carnitas Mata,Don't Like,Mexican,Medium,Yes
U1082,132594,Tacos De Barbacoa Enfrente Del Tec,Don't Like,Mexican,Low,No
U1082,132608,Hamburguesas La Perica,Don't Like,Mexican,Low,Yes
U1082,132609,Pollo Frito Buenos Aires,Don't Like,Fast Food,Low,Yes
U1082,132663,Tacos Abi,Don't Like,Mexican,Low,No
U1082,132560,Puesto de Gorditas,Don't Like,Regional,Low,No
U1060,132564,Church's,I like it,Not Informed,Low,Yes
U1060,132717,Tortas Hawaii,I like it,Fast Food,Medium,No
U1060,132733,Little Caesars,I like it,Pizzeria,Medium,Yes
U1060,132740,Carreton De Flautas Y Migadas,Okay,Mexican,Low,No
U1015,135071,Restaurante La Cantina,Don't Like,Bar,Medium,No
U1123,132733,Little Caesars,Okay,Pizzeria,Medium,Yes
U1123,132608,Hamburguesas La Perica,Okay,Mexican,Low,Yes
U1123,135104,Vips,I like it,Not Informed,None,None
U1123,132584,Gorditas Doña Tota,Okay,Not Informed,None,None
U1123,132667,Little Pizza Emilio Portes Gil,Okay,Armenian,Low,Yes
U1123,132740,Carreton De Flautas Y Migadas,Okay,Mexican,Low,No
U1123,132613,Carnitas Mata,Okay,Mexican,Medium,Yes
U1123,132594,Tacos De Barbacoa Enfrente Del Tec,Okay,Mexican,Low,No
U1021,132740,Carreton De Flautas Y Migadas,I like it,Mexican,Low,No
U1026,132626,La Perica Hamburguesa,I like it,Italian,Medium,Yes
U1021,132668,Tacos El Guero,I like it,Mexican,Low,No
U1021,132715,Tacos De La Estacion,I like it,Mexican,Low,No
U1044,134987,Chilis Cuernavaca,Don't Like,Not Informed,Medium,No
U1083,135034,Michiko Restaurant Japones,I like it,Japanese,Medium,No
U1083,132723,Gordas De Morales,Okay,Mexican,Medium,No
U1083,135046,Restaurante El Reyecito,I like it,Fast Food,Medium,No
U1108,135075,Mariscos El Pescador,I like it,Seafood,Medium,No
U1108,132572,Cafe Chaires,Okay,Cafeteria,Low,No
U1108,135074,Restaurante La Parroquia Potosina,I like it,Contemporary,High,No
U1108,135028,La Virreina,Okay,Mexican,Medium,No
U1108,135085,Tortas Locas Hipocampo,Okay,Fast Food,Medium,No
U1108,135032,Cafeteria Y Restaurant El Pacifico,I like it,Cafeteria,Medium,No
U1108,135086,McDonalds Parque Tangamanga,Okay,Burgers,Medium,Yes
U1108,132723,Gordas De Morales,I like it,Mexican,Medium,No
U1108,135046,Restaurante El Reyecito,Okay,Fast Food,Medium,No
U1108,135058,Restaurante Tiberius,Okay,Pizzeria,Medium,Yes
U1012,135001,Vips,Okay,Not Informed,None,None
U1012,134983,Restaurant And Bar And Clothesline Carlos N Charlies,I like it,Bar,High,No
U1012,134996,Sanborns Casa Piedra,I like it,Not Informed,Medium,Yes
U1093,135019,Restaurant Bar Coty Y Pablo,I like it,Bar,Low,No
U1093,134996,Sanborns Casa Piedra,I like it,Not Informed,Medium,Yes
U1093,135001,Vips,I like it,Not Informed,None,None
U1093,134976,Log Yin,I like it,Mexican,Low,No
U1093,134999,Kiku Cuernavaca,I like it,Japanese,Medium,No
U1030,135018,El Oceano Dorado,I like it,Mexican,Medium,No
U1093,135013,Giovannis,I like it,Not Informed,Low,No
U1030,134986,Restaurant Las Mañanitas,I like it,Not Informed,None,None
U1012,134986,Restaurant Las Mañanitas,I like it,Not Informed,None,None
U1012,135018,El Oceano Dorado,I like it,Mexican,Medium,No
U1030,135088,Cafeteria Cenidet,Okay,Cafeteria,Low,No
U1093,132767,Restaurant Familiar El Chino,I like it,Vietnamese,Medium,No
U1030,135016,Arrachela Grill,Don't Like,Not Informed,Medium,No
U1093,135011,Los Vikingos,Okay,Not Informed,Medium,Yes
U1030,132767,Restaurant Familiar El Chino,Don't Like,Vietnamese,Medium,No
U1030,135019,Restaurant Bar Coty Y Pablo,Don't Like,Bar,Low,No
U1030,135109,Paniroles,Don't Like,Italian,Medium,No
U1030,134996,Sanborns Casa Piedra,Don't Like,Not Informed,Medium,Yes
U1066,135011,Los Vikingos,Okay,Not Informed,Medium,Yes
U1066,134999,Kiku Cuernavaca,Okay,Japanese,Medium,No
U1127,134975,Rincon Del Bife,I like it,Not Informed,High,No
U1127,135021,Subway,I like it,Fast Food,Low,Yes
U1127,134987,Chilis Cuernavaca,I like it,Not Informed,Medium,No
U1127,134996,Sanborns Casa Piedra,I like it,Not Informed,Medium,Yes
U1017,132768,Mariscos Tia Licha,Okay,Family,Medium,Yes
U1066,135019,Restaurant Bar Coty Y Pablo,I like it,Bar,Low,No
U1017,134975,Rincon Del Bife,I like it,Not Informed,High,No
U1017,134983,Restaurant And Bar And Clothesline Carlos N Charlies,Don't Like,Bar,High,No
U1066,132767,Restaurant Familiar El Chino,Okay,Vietnamese,Medium,No
U1100,135021,Subway,I like it,Fast Food,Low,Yes
U1100,134996,Sanborns Casa Piedra,I like it,Not Informed,Medium,Yes
U1066,135013,Giovannis,Okay,Not Informed,Low,No
U1100,135000,Restaurant Los Pinos,I like it,Not Informed,Medium,No
U1100,135001,Vips,I like it,Not Informed,None,None
U1100,132768,Mariscos Tia Licha,I like it,Family,Medium,Yes
U1100,134976,Log Yin,I like it,Mexican,Low,No
U1133,134983,Restaurant And Bar And Clothesline Carlos N Charlies,Okay,Bar,High,No
U1133,134986,Restaurant Las Mañanitas,I like it,Not Informed,None,None
U1133,132766,Mikasa,Okay,Japanese,Medium,No
U1133,132767,Restaurant Familiar El Chino,Don't Like,Vietnamese,Medium,No
U1133,135021,Subway,I like it,Fast Food,Low,Yes
U1133,135001,Vips,I like it,Not Informed,None,None
U1133,134975,Rincon Del Bife,Okay,Not Informed,High,No
U1133,134992,Restaurant Teely,Okay,Not Informed,High,No
U1133,135019,Restaurant Bar Coty Y Pablo,Okay,Bar,Low,No
U1118,134987,Chilis Cuernavaca,Don't Like,Not Informed,Medium,No
U1072,135016,Arrachela Grill,Okay,Not Informed,Medium,No
U1072,132773,El Cotorreo,I like it,Family,Low,No
U1072,135088,Cafeteria Cenidet,Don't Like,Cafeteria,Low,No
U1026,132561,Cafe Ambar,Okay,Not Informed,Low,No
U1026,132706,Gorditas Dona Tota,Don't Like,Mexican,Medium,Yes
U1026,132654,Carnitas Mata  Calle 16 de Septiembre,Don't Like,Not Informed,Low,No
U1026,132665,Tacos Correcaminos,I like it,Mexican,Low,No
U1023,132740,Carreton De Flautas Y Migadas,Don't Like,Mexican,Low,No
U1023,132733,Little Caesars,I like it,Pizzeria,Medium,Yes
U1080,132668,Tacos El Guero,Okay,Mexican,Low,No
U1080,132660,Carnitas Mata Calle Emilio Portes Gil,I like it,Not Informed,Low,No
U1080,132733,Little Caesars,Okay,Pizzeria,Medium,Yes
U1080,132608,Hamburguesas La Perica,I like it,Mexican,Low,Yes
U1063,132660,Carnitas Mata Calle Emilio Portes Gil,I like it,Not Informed,Low,No
U1063,132584,Gorditas Doña Tota,I like it,Not Informed,None,None
U1063,132609,Pollo Frito Buenos Aires,Okay,Fast Food,Low,Yes
U1063,135104,Vips,Okay,Not Informed,None,None
U1063,132667,Little Pizza Emilio Portes Gil,Okay,Armenian,Low,Yes
U1080,132564,Church's,Okay,Not Informed,Low,Yes
U1080,132715,Tacos De La Estacion,Okay,Mexican,Low,No
U1082,132732,Taqueria El Amigo ,Don't Like,Mexican,Low,No
U1082,132733,Little Caesars,Don't Like,Pizzeria,Medium,Yes
U1074,135011,Los Vikingos,I like it,Not Informed,Medium,Yes
U1074,134987,Chilis Cuernavaca,I like it,Not Informed,Medium,No
U1074,134976,Log Yin,I like it,Mexican,Low,No
U1117,135018,El Oceano Dorado,Okay,Mexican,Medium,No
U1117,132766,Mikasa,Don't Like,Japanese,Medium,No
U1117,135088,Cafeteria Cenidet,Okay,Cafeteria,Low,No
U1117,135016,Arrachela Grill,I like it,Not Informed,Medium,No
U1117,132773,El Cotorreo,Okay,Family,Low,No
U1117,135000,Restaurant Los Pinos,Okay,Not Informed,Medium,No
U1118,132583,McDonalds Centro,Don't Like,American,Low,Yes
U1118,132768,Mariscos Tia Licha,Don't Like,Family,Medium,Yes
U1118,135021,Subway,I like it,Fast Food,Low,Yes
U1118,134983,Restaurant And Bar And Clothesline Carlos N Charlies,Don't Like,Bar,High,No
U1118,135001,Vips,Don't Like,Not Informed,None,None
U1118,134992,Restaurant Teely,Don't Like,Not Informed,High,No
U1020,135088,Cafeteria Cenidet,Okay,Cafeteria,Low,No
U1020,132768,Mariscos Tia Licha,I like it,Family,Medium,Yes
U1020,134996,Sanborns Casa Piedra,Okay,Not Informed,Medium,Yes
U1020,135109,Paniroles,I like it,Italian,Medium,No
U1051,135088,Cafeteria Cenidet,Okay,Cafeteria,Low,No
U1051,135109,Paniroles,Okay,Italian,Medium,No
U1051,132768,Mariscos Tia Licha,Okay,Family,Medium,Yes
U1055,135051,Restaurante Versalles,Okay,Not Informed,Low,No
U1055,135075,Mariscos El Pescador,I like it,Seafood,Medium,No
U1055,132572,Cafe Chaires,I like it,Cafeteria,Low,No
U1055,135028,La Virreina,I like it,Mexican,Medium,No
U1055,135025,El Rincon De San Francisco,I like it,Mexican,Medium,No
U1083,132572,Cafe Chaires,I like it,Cafeteria,Low,No
U1083,135049,Restaurante De Mariscos La Langosta,Don't Like,Seafood,Medium,No
U1055,135106,El Rincón De San Francisco,I like it,Not Informed,None,None
U1083,135072,Sushi Itto,Okay,Japanese,Medium,Yes
U1083,135074,Restaurante La Parroquia Potosina,I like it,Contemporary,High,No
U1083,132755,La Estrella De Dimas,I like it,Mexican,Medium,No
U1083,135044,Restaurant Wu Zhuo Yi,Okay,Chinese,Medium,No
U1055,135048,Restaurante Bar Fu-Hao,I like it,Bar,High,No
U1055,135047,Restaurante Casa De Las Flores,I like it,Not Informed,High,No
U1055,132754,Cabana Huasteca,I like it,Mexican,Medium,No
U1055,132825,Puesto De Tacos,I like it,Mexican,Low,No
U1053,135076,Restaurante Pueblo Bonito,Okay,Not Informed,High,No
U1053,135032,Cafeteria Y Restaurant El Pacifico,I like it,Cafeteria,Medium,No
U1053,132825,Puesto De Tacos,Okay,Mexican,Low,No
U1053,135063,Restaurante Alhondiga,I like it,Not Informed,Medium,No
U1035,135018,El Oceano Dorado,Okay,Mexican,Medium,No
U1035,132773,El Cotorreo,I like it,Family,Low,No
U1053,135042,Restaurant Oriental Express,I like it,Chinese,Medium,No
U1053,135053,La Fontana Pizza Restaurante And Cafe,I like it,Cafeteria,High,No
U1053,132754,Cabana Huasteca,Okay,Mexican,Medium,No
U1035,132583,McDonalds Centro,Okay,American,Low,Yes
U1053,135081,El Club,I like it,Not Informed,Medium,No
U1053,135025,El Rincon De San Francisco,I like it,Mexican,Medium,No
U1053,135038,Restaurant La Chalita,I like it,Not Informed,Medium,No
U1053,135060,Restaurante Marisco Sam,I like it,Seafood,Medium,No
U1053,135062,Restaurante El Cielo Potosino,I like it,Not Informed,Medium,No
U1053,135047,Restaurante Casa De Las Flores,I like it,Not Informed,High,No
U1064,135042,Restaurant Oriental Express,Okay,Chinese,Medium,No
U1081,135069,Abondance Restaurante Bar,Okay,Bar,Low,No
U1064,135057,El Herradero Restaurante And Bar,Okay,Bar,Medium,No
U1081,135076,Restaurante Pueblo Bonito,Okay,Not Informed,High,No
U1081,135043,Pizza Clasica,Don't Like,Fast Food,Medium,Yes
U1064,135069,Abondance Restaurante Bar,Don't Like,Bar,Low,No
U1081,135039,Restaurant De Mariscos De Picon,Don't Like,Seafood,Low,No
U1064,135060,Restaurante Marisco Sam,Okay,Seafood,Medium,No
U1064,135052,La Cantina Restaurante,I like it,Bar,High,No
U1081,132825,Puesto De Tacos,Okay,Mexican,Low,No
U1081,135032,Cafeteria Y Restaurant El Pacifico,Don't Like,Cafeteria,Medium,No
U1081,135028,La Virreina,Okay,Mexican,Medium,No
U1081,135085,Tortas Locas Hipocampo,Okay,Fast Food,Medium,No
U1081,135052,La Cantina Restaurante,Don't Like,Bar,High,No
U1081,135030,Preambulo Wifi Zone Cafe,Okay,Coffee Shop,Medium,No
U1081,135027,Restaurant Orizatlan,Don't Like,Mexican,Medium,No
U1001,132830,Rincon Huasteco,Okay,Not Informed,Low,No
U1001,132825,Puesto De Tacos,I like it,Mexican,Low,No
U1014,135076,Restaurante Pueblo Bonito,Okay,Not Informed,High,No
U1088,132830,Rincon Huasteco,Don't Like,Not Informed,Low,No
U1088,135108,Potzocalli,I like it,Not Informed,Low,No
U1014,135069,Abondance Restaurante Bar,Okay,Bar,Low,No
U1014,135050,Restaurante La Estrella De Dima,I like it,Not Informed,High,No
U1088,135057,El Herradero Restaurante And Bar,Okay,Bar,Medium,No
U1014,135081,El Club,I like it,Not Informed,Medium,No
U1014,135057,El Herradero Restaurante And Bar,Okay,Bar,Medium,No
U1014,135070,Restaurante 75,I like it,Not Informed,Medium,No
U1088,135041,Luna Cafe,I like it,Bar,Medium,No
U1088,135069,Abondance Restaurante Bar,Okay,Bar,Low,No
U1088,135082,La Estrella De Dimas,I like it,Not Informed,None,None
U1014,135043,Pizza Clasica,Okay,Fast Food,Medium,Yes
U1014,135042,Restaurant Oriental Express,Okay,Chinese,Medium,No
U1088,135071,Restaurante La Cantina,Don't Like,Bar,Medium,No
U1088,135054,Restaurante Y Pescaderia Tampico,I like it,Seafood,High,No
U1088,135070,Restaurante 75,I like it,Not Informed,Medium,No
U1014,135066,Restaurante Guerra,I like it,Not Informed,High,No
U1088,135032,Cafeteria Y Restaurant El Pacifico,I like it,Cafeteria,Medium,No
U1088,135081,El Club,Okay,Not Informed,Medium,No
U1088,135051,Restaurante Versalles,I like it,Not Informed,Low,No
U1014,132830,Rincon Huasteco,I like it,Not Informed,Low,No
U1014,135082,La Estrella De Dimas,Don't Like,Not Informed,None,None
U1056,135066,Restaurante Guerra,I like it,Not Informed,High,No
U1056,135050,Restaurante La Estrella De Dima,Don't Like,Not Informed,High,No
U1056,135076,Restaurante Pueblo Bonito,I like it,Not Informed,High,No
U1056,135081,El Club,I like it,Not Informed,Medium,No
U1056,135062,Restaurante El Cielo Potosino,I like it,Not Informed,Medium,No
U1056,135027,Restaurant Orizatlan,I like it,Mexican,Medium,No
U1056,135085,Tortas Locas Hipocampo,I like it,Fast Food,Medium,No
U1056,135052,La Cantina Restaurante,I like it,Bar,High,No
U1056,132825,Puesto De Tacos,I like it,Mexican,Low,No
U1056,135051,Restaurante Versalles,I like it,Not Informed,Low,No
U1134,135047,Restaurante Casa De Las Flores,Okay,Not Informed,High,No
U1134,135026,La Cantina,Don't Like,Bar,High,No
U1134,135044,Restaurant Wu Zhuo Yi,Okay,Chinese,Medium,No
U1134,132825,Puesto De Tacos,Okay,Mexican,Low,No
U1134,135059,Restaurant Bar Hacienda Los Martinez,I like it,Bar,Medium,No
U1134,135065,El Angel Restaurante,I like it,Not Informed,High,No
U1134,135046,Restaurante El Reyecito,I like it,Fast Food,Medium,No
U1134,135085,Tortas Locas Hipocampo,I like it,Fast Food,Medium,No
U1134,135079,Koye Sushi,Okay,Chinese,High,No
U1134,135055,La Cochinita Pibil Restaurante Yucateco,I like it,Mexican,High,No
U1134,132754,Cabana Huasteca,I like it,Mexican,Medium,No
U1134,132572,Cafe Chaires,Don't Like,Cafeteria,Low,No
U1134,135075,Mariscos El Pescador,I like it,Seafood,Medium,No
U1134,135080,Los Toneles,Okay,Not Informed,High,No
U1134,135064,Restaurante El Chivero S.A. De C.V.,I like it,Not Informed,High,No
U1134,135074,Restaurante La Parroquia Potosina,I like it,Contemporary,High,No
U1106,135041,Luna Cafe,Okay,Bar,Medium,No
U1126,135069,Abondance Restaurante Bar,Don't Like,Bar,Low,No
U1106,135032,Cafeteria Y Restaurant El Pacifico,Don't Like,Cafeteria,Medium,No
U1126,135057,El Herradero Restaurante And Bar,I like it,Bar,Medium,No
U1126,132830,Rincon Huasteco,Don't Like,Not Informed,Low,No
U1106,135028,La Virreina,I like it,Mexican,Medium,No
U1126,135040,Restaurant Los Compadres,Don't Like,Not Informed,High,No
U1126,135106,El Rincón De San Francisco,I like it,Not Informed,None,None
U1126,135052,La Cantina Restaurante,I like it,Bar,High,No
U1126,135041,Luna Cafe,I like it,Bar,Medium,No
U1126,135038,Restaurant La Chalita,Okay,Not Informed,Medium,No
U1126,135054,Restaurante Y Pescaderia Tampico,Okay,Seafood,High,No
U1126,135108,Potzocalli,I like it,Not Informed,Low,No
U1044,134986,Restaurant Las Mañanitas,I like it,Not Informed,None,None
U1124,135054,Restaurante Y Pescaderia Tampico,Okay,Seafood,High,No
U1044,132768,Mariscos Tia Licha,I like it,Family,Medium,Yes
U1124,135108,Potzocalli,Okay,Not Informed,Low,No
U1124,135032,Cafeteria Y Restaurant El Pacifico,Okay,Cafeteria,Medium,No
U1124,135071,Restaurante La Cantina,Okay,Bar,Medium,No
U1124,135070,Restaurante 75,Okay,Not Informed,Medium,No
U1124,135069,Abondance Restaurante Bar,Okay,Bar,Low,No
U1124,135081,El Club,Okay,Not Informed,Medium,No
U1124,135057,El Herradero Restaurante And Bar,Okay,Bar,Medium,No
U1124,135039,Restaurant De Mariscos De Picon,Okay,Seafood,Low,No
U1124,135050,Restaurante La Estrella De Dima,Don't Like,Not Informed,High,No
U1018,135043,Pizza Clasica,Don't Like,Fast Food,Medium,Yes
U1125,135043,Pizza Clasica,Okay,Fast Food,Medium,Yes
U1125,135081,El Club,Don't Like,Not Informed,Medium,No
U1125,135076,Restaurante Pueblo Bonito,Okay,Not Informed,High,No
U1018,135082,La Estrella De Dimas,I like it,Not Informed,None,None
U1125,135050,Restaurante La Estrella De Dima,I like it,Not Informed,High,No
U1125,135066,Restaurante Guerra,Okay,Not Informed,High,No
U1125,135032,Cafeteria Y Restaurant El Pacifico,Okay,Cafeteria,Medium,No
U1119,134986,Restaurant Las Mañanitas,I like it,Not Informed,None,None
U1119,135021,Subway,Don't Like,Fast Food,Low,Yes
U1119,135001,Vips,I like it,Not Informed,None,None
U1125,135042,Restaurant Oriental Express,Okay,Chinese,Medium,No
U1119,132583,McDonalds Centro,I like it,American,Low,Yes
U1125,135063,Restaurante Alhondiga,Okay,Not Informed,Medium,No
U1119,132768,Mariscos Tia Licha,I like it,Family,Medium,Yes
U1125,135060,Restaurante Marisco Sam,Okay,Seafood,Medium,No
U1125,135038,Restaurant La Chalita,I like it,Not Informed,Medium,No
U1125,135062,Restaurante El Cielo Potosino,Okay,Not Informed,Medium,No
U1018,135081,El Club,Okay,Not Informed,Medium,No
U1018,135057,El Herradero Restaurante And Bar,Okay,Bar,Medium,No
U1018,135066,Restaurante Guerra,Okay,Not Informed,High,No
U1018,135032,Cafeteria Y Restaurant El Pacifico,Okay,Cafeteria,Medium,No
U1018,135062,Restaurante El Cielo Potosino,Don't Like,Not Informed,Medium,No
U1018,135025,El Rincon De San Francisco,Okay,Mexican,Medium,No
U1018,135069,Abondance Restaurante Bar,Don't Like,Bar,Low,No
U1018,135108,Potzocalli,Okay,Not Informed,Low,No
U1076,135039,Restaurant De Mariscos De Picon,I like it,Seafood,Low,No
U1076,135038,Restaurant La Chalita,Okay,Not Informed,Medium,No
U1076,135027,Restaurant Orizatlan,Don't Like,Mexican,Medium,No
U1076,135042,Restaurant Oriental Express,I like it,Chinese,Medium,No
U1022,135040,Restaurant Los Compadres,Don't Like,Not Informed,High,No
U1076,135073,Restaurante Bar El Gallinero,I like it,Bar,High,No
U1022,135033,Restaurant El Muladar De Calzada,Okay,Not Informed,Medium,No
U1022,135025,El Rincon De San Francisco,Don't Like,Mexican,Medium,No
U1022,135032,Cafeteria Y Restaurant El Pacifico,Okay,Cafeteria,Medium,No
U1022,135057,El Herradero Restaurante And Bar,I like it,Bar,Medium,No
U1022,135060,Restaurante Marisco Sam,Okay,Seafood,Medium,No
U1022,135052,La Cantina Restaurante,I like it,Bar,High,No
U1022,135038,Restaurant La Chalita,I like it,Not Informed,Medium,No
U1022,135081,El Club,Don't Like,Not Informed,Medium,No
U1022,135045,Restaurante La Gran Via,I like it,Not Informed,High,No
U1022,135051,Restaurante Versalles,I like it,Not Informed,Low,No
U1022,135073,Restaurante Bar El Gallinero,I like it,Bar,High,No
U1022,135062,Restaurante El Cielo Potosino,Okay,Not Informed,Medium,No
U1022,135063,Restaurante Alhondiga,I like it,Not Informed,Medium,No
U1094,135054,Restaurante Y Pescaderia Tampico,Don't Like,Seafood,High,No
U1094,135082,La Estrella De Dimas,Don't Like,Not Informed,None,None
U1094,135057,El Herradero Restaurante And Bar,Don't Like,Bar,Medium,No
U1094,135071,Restaurante La Cantina,Don't Like,Bar,Medium,No
U1094,132830,Rincon Huasteco,Don't Like,Not Informed,Low,No
U1094,135070,Restaurante 75,Don't Like,Not Informed,Medium,No
U1094,135108,Potzocalli,Don't Like,Not Informed,Low,No
U1094,135069,Abondance Restaurante Bar,Don't Like,Bar,Low,No
U1116,135047,Restaurante Casa De Las Flores,I like it,Not Informed,High,No
U1116,135060,Restaurante Marisco Sam,Don't Like,Seafood,Medium,No
U1116,135038,Restaurant La Chalita,I like it,Not Informed,Medium,No
U1116,135085,Tortas Locas Hipocampo,I like it,Fast Food,Medium,No
U1116,135052,La Cantina Restaurante,I like it,Bar,High,No
U1116,135025,El Rincon De San Francisco,I like it,Mexican,Medium,No
U1116,135059,Restaurant Bar Hacienda Los Martinez,Don't Like,Bar,Medium,No
U1116,135027,Restaurant Orizatlan,Don't Like,Mexican,Medium,No
U1116,132825,Puesto De Tacos,I like it,Mexican,Low,No
U1116,135030,Preambulo Wifi Zone Cafe,Okay,Coffee Shop,Medium,No
U1116,132834,Gorditas Doa Gloria,I like it,Mexican,Low,No
U1105,135057,El Herradero Restaurante And Bar,Don't Like,Bar,Medium,No
U1105,135069,Abondance Restaurante Bar,Don't Like,Bar,Low,No
U1105,132830,Rincon Huasteco,Don't Like,Not Informed,Low,No
U1105,135040,Restaurant Los Compadres,Don't Like,Not Informed,High,No
U1105,135033,Restaurant El Muladar De Calzada,Don't Like,Not Informed,Medium,No
U1105,135054,Restaurante Y Pescaderia Tampico,Don't Like,Seafood,High,No
U1105,135039,Restaurant De Mariscos De Picon,Don't Like,Seafood,Low,No
U1105,135052,La Cantina Restaurante,Don't Like,Bar,High,No
U1075,135081,El Club,Okay,Not Informed,Medium,No
U1075,135066,Restaurante Guerra,I like it,Not Informed,High,No
U1075,135050,Restaurante La Estrella De Dima,I like it,Not Informed,High,No
U1007,135108,Potzocalli,Okay,Not Informed,Low,No
U1075,135076,Restaurante Pueblo Bonito,I like it,Not Informed,High,No
U1007,135057,El Herradero Restaurante And Bar,Okay,Bar,Medium,No
U1075,135032,Cafeteria Y Restaurant El Pacifico,Okay,Cafeteria,Medium,No
U1075,132834,Gorditas Doa Gloria,Okay,Mexican,Low,No
U1075,135057,El Herradero Restaurante And Bar,I like it,Bar,Medium,No
U1075,132830,Rincon Huasteco,Okay,Not Informed,Low,No
U1075,135062,Restaurante El Cielo Potosino,Okay,Not Informed,Medium,No
U1075,135039,Restaurant De Mariscos De Picon,I like it,Seafood,Low,No
U1075,135051,Restaurante Versalles,Okay,Not Informed,Low,No
U1075,135041,Luna Cafe,Okay,Bar,Medium,No
U1115,135057,El Herradero Restaurante And Bar,I like it,Bar,Medium,No
U1115,135082,La Estrella De Dimas,I like it,Not Informed,None,None
U1115,135054,Restaurante Y Pescaderia Tampico,Don't Like,Seafood,High,No
U1115,135108,Potzocalli,Okay,Not Informed,Low,No
